what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1649404982499
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1649404982499
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1649404982501
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1649404982503
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1649404982505
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1649404982505
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1649404982507
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1649404982507
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1649404982509
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1649404982510
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1649404982511
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1649404982514
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1649404982515
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1649404982529
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1649404982531
started,bundle,com.altera.sbtgui.integration,12.1.0.177,"com.altera.sbtgui.integration",1649404982532
started,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1649404982532
started,bundle,com.altera.systemconsole,12.1.0.177,"com.altera.systemconsole",1649404982533
started,bundle,com.altera.systemconsole.designs.plugin,12.1.0.177,"com.altera.systemconsole.designs.plugin",1649404982533
started,bundle,com.altera.utilities,12.1.0.177,"com.altera.utilities",1649404982533
os,sysinfo,,,"win32",1649404982536
arch,sysinfo,,,"x86",1649404982536
ws,sysinfo,,,"win32",1649404982536
locale,sysinfo,,,"en_US",1649404982536
processors,sysinfo,,,"8",1649404982536
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1649404982536
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1649404982536
java.specification.name,sysinfo,,,"Java Platform API Specification",1649404982536
