what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1649178671826
processors,sysinfo,,,"8",1649178671826
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1649178671826
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1649178671826
java.specification.name,sysinfo,,,"Java Platform API Specification",1649178671826
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1649178671826
java.specification.version,sysinfo,,,"1.6",1649178671826
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1649178671826
java.version,sysinfo,,,"1.6.0_23",1649178671826
java.vm.info,sysinfo,,,"mixed mode",1649178671826
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1649178671826
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1649178671826
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1649178671826
java.vm.specification.version,sysinfo,,,"1.0",1649178671826
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1649178671826
java.vm.version,sysinfo,,,"19.0-b09",1649178671826
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649178678197
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649178987349
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649178987451
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1649178987911
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1649178990304
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649178995815
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649179067411
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1649179104700
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649179117014
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649179117183
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1649179163200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649179423453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1649179490481
